Datetime,Open,High,Low,Close,MA50
7/23/07 0:00,1.38357,1.38452,1.37912,1.37982,1.3532568
7/24/07 0:00,1.37997,1.38515,1.37951,1.38195,1.3539772
7/25/07 0:00,1.38179,1.38251,1.36944,1.37203,1.3547242
7/26/07 0:00,1.372,1.37714,1.36888,1.37502,1.3552638
7/27/07 0:00,1.37499,1.37521,1.36239,1.36306,1.3558628
7/29/07 0:00,1.36206,1.36415,1.36058,1.36322,1.356262
7/30/07 0:00,1.36321,1.37274,1.36175,1.37197,1.3566218
7/31/07 0:00,1.37197,1.3724,1.36636,1.36706,1.3571734
8/1/07 0:00,1.3671,1.37099,1.36363,1.36642,1.3576306
8/2/07 0:00,1.36625,1.37063,1.36478,1.37024,1.3579776
8/3/07 0:00,1.37024,1.38178,1.36811,1.37698,1.358351
8/5/07 0:00,1.3786,1.38387,1.3786,1.38163,1.3588992
8/6/07 0:00,1.38176,1.38386,1.37764,1.3808,1.3596824
8/7/07 0:00,1.38098,1.38132,1.37314,1.37496,1.3605568
8/8/07 0:00,1.37526,1.38259,1.37185,1.37993,1.3613442
8/9/07 0:00,1.37984,1.38167,1.36533,1.36624,1.3622448
8/10/07 0:00,1.36655,1.37049,1.36406,1.36907,1.3629696
8/12/07 0:00,1.36887,1.36936,1.3678,1.36897,1.363737
8/13/07 0:00,1.36883,1.37091,1.35974,1.36069,1.3645004
8/14/07 0:00,1.36062,1.3625,1.35238,1.35295,1.3649408
8/15/07 0:00,1.353,1.35319,1.34127,1.34281,1.3652288
8/16/07 0:00,1.34292,1.34464,1.33594,1.34285,1.3652556
8/17/07 0:00,1.3425,1.3546,1.33691,1.34721,1.3652668
8/19/07 0:00,1.3476,1.3489,1.34705,1.34705,1.3654176
8/20/07 0:00,1.34734,1.35076,1.34573,1.3471,1.365581
8/21/07 0:00,1.3471,1.35203,1.34485,1.34658,1.3655878
8/22/07 0:00,1.34635,1.35576,1.34459,1.35456,1.3655962
8/23/07 0:00,1.35477,1.35879,1.35324,1.3561,1.3657628
